Time Interval,Time Period (% ago),MACD ROI,Heikin-ashi ROI,Processed-Heikin-ashi ROI,Heikin-ashi plus MACD ROI
1h,1 month,0.0870,-0.0553,0.1555,-0.0848
2h,1 month,0.1244,-0.0665,0.1461,0.0981
4h,1 month,0.0854,0.0530,0.0809,0.0780
6h,1 month,0.0503,0.1173,0.1373,0.0627
12h,1 month,-0.0355,-0.0319,0.0004,-0.0579
1d,1 month,-0.0862,0.0154,-0.1160,-0.0862
1h,2 month,0.0151,-0.1849,0.1894,-0.1739
2h,2 month,0.0339,-0.0835,0.1697,0.0235
4h,2 month,0.1140,-0.0490,0.0778,0.0621
6h,2 month,0.0375,0.0636,0.1167,0.0369
12h,2 month,-0.0595,-0.0606,-0.0249,-0.0755
1d,2 month,-0.0646,-0.0063,-0.1207,-0.0646
1h,3 month,-0.0923,-0.2387,0.1267,-0.2367
2h,3 month,0.0116,-0.1112,0.1326,-0.0904
4h,3 month,0.1430,-0.1559,0.0914,0.0874
6h,3 month,-0.0371,-0.0397,0.0611,-0.1604
12h,3 month,-0.0966,-0.0548,-0.0531,-0.1106
1d,3 month,-0.1569,-0.0886,-0.1931,-0.1569
1h,4 month,-0.1722,-0.2493,0.0615,-0.2870
2h,4 month,-0.1337,-0.1515,0.0025,-0.1493
4h,4 month,0.1153,-0.1538,0.0976,-0.0255
6h,4 month,0.0441,-0.0524,-0.0007,-0.0728
12h,4 month,0.0618,-0.0357,0.0935,-0.0767
1d,4 month,-0.1709,-0.0216,-0.1459,-0.3037
1h,5 month,0.0290,-0.2211,0.1912,-0.0101
2h,5 month,0.3160,0.1121,0.2483,0.1978
4h,5 month,0.5367,0.2772,0.3691,0.1755
6h,5 month,0.2070,0.3661,0.4052,0.0687
12h,5 month,-0.1198,0.1530,0.0429,-0.1330
1d,5 month,-0.1961,-0.1536,-0.1822,-0.3239
1h,6 month,0.1339,-0.0937,0.1834,0.4458
2h,6 month,0.4906,0.3678,0.2759,0.3617
4h,6 month,0.6863,0.0427,0.3528,0.4884
6h,6 month,0.4564,0.3329,0.3809,0.2950
12h,6 month,0.1780,0.2102,0.2532,0.1603
1d,6 month,-0.0197,0.1093,-0.0138,-0.2869
1h,1 year,-0.1841,-0.4656,-0.2495,-0.1431
2h,1 year,0.6471,-0.3179,0.0919,0.3279
4h,1 year,0.8153,0.6458,0.5007,1.2497
6h,1 year,0.4941,0.4253,0.5311,0.5713
12h,1 year,0.4373,0.6600,0.7072,0.3573
1d,1 year,0.3718,0.5218,0.4159,0.1645
